time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20140106:0200,4.38,85.05,29.35,0.0,29.35,248.2,2.28,76.0,97571.0
20140106:0300,6.17,79.75,277.7,1017.04,67.75,249.2,1.38,84.0,97648.0
20140106:0400,11.92,54.95,469.25,999.52,86.4,255.0,1.31,88.0,97725.0
20140106:0500,15.75,40.05,614.55,991.44,97.25,263.6,1.59,88.0,97782.0
20140106:0600,17.91,29.3,697.05,969.79,102.4,272.2,1.45,80.0,97715.0
20140106:0700,18.51,25.7,709.4,931.13,103.2,275.4,1.03,37.0,97639.0
20140106:0800,19.5,22.55,650.4,870.87,99.35,278.4,1.38,20.0,97571.0
20140106:0900,20.04,20.5,525.7,777.79,90.45,279.8,1.86,20.0,97504.0
20140106:1000,20.07,19.5,348.35,625.72,75.2,280.2,2.14,25.0,97456.0
20140106:1100,19.64,19.8,144.95,359.42,47.2,278.8,2.34,30.0,97447.0
20140106:1200,17.87,26.2,8.2,40.86,5.05,276.6,2.41,29.0,97495.0
20140106:1300,15.03,31.7,0.0,0.0,0.0,272.2,2.9,31.0,97514.0
20140106:1400,13.19,35.6,0.0,0.0,0.0,269.8,2.83,36.0,97581.0
20140106:1500,11.94,39.35,0.0,0.0,0.0,267.2,2.76,42.0,97658.0
20140106:1600,10.93,43.9,0.0,0.0,0.0,265.0,2.76,42.0,97725.0
20140106:1700,10.0,49.35,0.0,0.0,0.0,263.8,2.69,42.0,97734.0
20140106:1800,9.2,55.1,0.0,0.0,0.0,262.6,2.69,47.0,97677.0
20140106:1900,8.5,58.45,0.0,0.0,0.0,263.8,2.48,49.0,97648.0
20140106:2000,7.92,63.65,0.0,0.0,0.0,261.8,2.62,47.0,97619.0
20140106:2100,7.5,68.0,0.0,0.0,0.0,261.6,2.62,49.0,97591.0
20140106:2200,7.16,71.7,0.0,0.0,0.0,262.0,2.55,49.0,97600.0
20140106:2300,6.88,74.85,0.0,0.0,0.0,263.2,2.55,54.0,97610.0
20140107:0000,6.5,78.05,0.0,0.0,0.0,260.6,2.48,64.0,97619.0
20140107:0100,6.05,81.45,0.0,0.0,0.0,256.8,2.34,76.0,97639.0
20140107:0200,5.61,84.25,32.95,0.0,32.95,256.2,2.34,86.0,97754.0
20140107:0300,7.0,79.3,224.25,553.25,110.1,261.8,1.79,97.0,97811.0
20140107:0400,11.52,59.65,456.15,965.8,85.95,287.0,2.0,106.0,97859.0
20140107:0500,15.21,47.05,599.15,960.25,97.45,274.2,2.28,110.0,97869.0
20140107:0600,17.49,37.45,682.05,943.49,102.45,283.2,2.55,110.0,97782.0
20140107:0700,18.48,30.1,695.95,909.06,102.7,286.6,2.41,97.0,97687.0
20140107:0800,19.38,26.25,639.4,851.9,98.7,289.2,2.21,87.0,97552.0
20140107:0900,19.92,24.15,517.7,761.33,89.95,290.6,2.21,79.0,97466.0
20140107:1000,20.07,23.35,343.75,612.65,74.8,290.4,2.14,72.0,97447.0
20140107:1100,19.75,23.7,144.15,353.33,47.15,289.2,2.14,65.0,97447.0
20140107:1200,18.28,29.45,8.65,41.43,5.35,286.4,2.21,49.0,97485.0
20140107:1300,15.63,35.05,0.0,0.0,0.0,281.2,2.9,45.0,97485.0
20140107:1400,13.62,38.4,0.0,0.0,0.0,278.0,2.9,49.0,97552.0
20140107:1500,12.44,40.0,0.0,0.0,0.0,275.4,2.97,57.0,97610.0
20140107:1600,11.48,42.45,0.0,0.0,0.0,273.0,2.97,70.0,97677.0
20140107:1700,10.63,46.7,0.0,0.0,0.0,271.0,2.9,86.0,97677.0
20140107:1800,9.91,52.4,0.0,0.0,0.0,268.6,2.83,100.0,97648.0
20140107:1900,9.48,59.9,0.0,0.0,0.0,268.0,2.76,109.0,97619.0
20140107:2000,8.99,64.6,0.0,0.0,0.0,266.2,2.69,115.0,97581.0
20140107:2100,8.53,68.35,0.0,0.0,0.0,264.8,2.69,115.0,97533.0
20140107:2200,8.17,71.15,0.0,0.0,0.0,263.0,2.76,113.0,97533.0
20140107:2300,7.86,73.3,0.0,0.0,0.0,262.0,2.76,108.0,97495.0
20140108:0000,7.54,75.4,0.0,0.0,0.0,262.4,2.69,102.0,97533.0
20140108:0100,7.37,76.55,0.0,0.0,0.0,267.4,2.76,97.0,97571.0
20140108:0200,7.47,76.25,41.7,0.0,41.7,275.2,2.76,97.0,97619.0
20140108:0300,8.98,70.1,218.1,463.62,122.45,279.8,2.55,101.0,97677.0
20140108:0400,12.37,56.45,368.25,451.55,195.0,288.6,3.17,108.0,97706.0
20140108:0500,15.26,46.35,537.55,668.69,187.65,300.6,3.86,117.0,97696.0
20140108:0600,17.92,40.2,626.3,717.73,184.5,301.8,4.28,128.0,97591.0
20140108:0700,20.07,37.35,621.25,606.19,224.65,315.2,4.62,139.0,97437.0
20140108:0800,21.48,36.05,593.65,668.5,168.0,321.0,4.14,150.0,97293.0
20140108:0900,22.5,35.45,489.85,653.0,121.45,325.0,3.45,164.0,97178.0
20140108:1000,22.98,35.55,333.45,563.85,84.5,324.0,2.55,187.0,97178.0
20140108:1100,22.89,36.3,141.3,335.02,48.45,320.8,2.0,225.0,97149.0
20140108:1200,21.68,41.1,8.75,39.51,5.5,322.0,1.59,277.0,97188.0
20140108:1300,19.36,46.9,0.0,0.0,0.0,315.0,2.07,298.0,97178.0
20140108:1400,17.45,51.7,0.0,0.0,0.0,317.6,2.0,300.0,97264.0
20140108:1500,15.51,57.4,0.0,0.0,0.0,309.4,1.86,300.0,97322.0
20140108:1600,13.78,61.8,0.0,0.0,0.0,304.6,2.28,320.0,97408.0
20140108:1700,12.64,63.0,0.0,0.0,0.0,299.0,2.76,346.0,97427.0
20140108:1800,11.98,63.75,0.0,0.0,0.0,299.8,2.83,2.0,97447.0
20140108:1900,11.89,63.15,0.0,0.0,0.0,305.8,3.1,38.0,97427.0
20140108:2000,11.59,64.7,0.0,0.0,0.0,308.8,2.83,50.0,97408.0
20140108:2100,11.26,66.4,0.0,0.0,0.0,312.8,2.48,51.0,97380.0
20140108:2200,10.92,67.85,0.0,0.0,0.0,314.2,2.28,32.0,97370.0
20140108:2300,10.09,70.3,0.0,0.0,0.0,296.4,2.83,6.0,97360.0
20140109:0000,9.74,69.85,0.0,0.0,0.0,299.0,3.03,5.0,97437.0
20140109:0100,9.22,71.05,0.0,0.0,0.0,287.8,3.17,12.0,97466.0
20140109:0200,8.96,72.25,28.5,0.0,28.5,290.8,3.17,17.0,97543.0
20140109:0300,9.82,69.45,260.75,923.51,70.15,284.0,2.9,20.0,97658.0
20140109:0400,12.24,60.65,429.25,885.21,89.2,284.4,3.52,25.0,97754.0
20140109:0500,14.58,53.55,589.4,913.37,110.65,293.0,3.72,27.0,97754.0
20140109:0600,16.76,47.45,676.25,927.0,104.4,296.4,4.07,28.0,97706.0
20140109:0700,18.17,43.3,679.65,865.41,111.95,299.8,4.28,24.0,97591.0
20140109:0800,18.98,40.95,637.85,840.91,100.65,302.2,4.21,25.0,97466.0
20140109:0900,19.46,39.55,514.1,737.7,96.15,303.4,4.0,26.0,97370.0
20140109:1000,19.5,39.05,343.95,599.06,77.9,306.2,3.72,27.0,97312.0
20140109:1100,19.12,39.4,147.35,352.54,48.7,302.6,3.45,28.0,97312.0
20140109:1200,17.81,43.05,9.8,44.76,6.0,298.4,2.55,18.0,97341.0
20140109:1300,15.31,49.15,0.0,0.0,0.0,293.4,2.9,7.0,97360.0
20140109:1400,13.93,51.2,0.0,0.0,0.0,289.4,3.03,7.0,97437.0
20140109:1500,13.01,51.45,0.0,0.0,0.0,286.0,3.17,10.0,97495.0
20140109:1600,12.31,51.3,0.0,0.0,0.0,286.0,3.24,16.0,97562.0
20140109:1700,11.62,52.05,0.0,0.0,0.0,283.2,3.17,21.0,97600.0
20140109:1800,10.96,53.65,0.0,0.0,0.0,281.8,3.1,27.0,97571.0
20140109:1900,10.61,58.35,0.0,0.0,0.0,281.8,2.9,40.0,97552.0
20140109:2000,9.97,62.9,0.0,0.0,0.0,281.4,2.69,43.0,97533.0
20140109:2100,9.42,67.8,0.0,0.0,0.0,284.2,2.41,44.0,97514.0
20140109:2200,8.7,73.65,0.0,0.0,0.0,276.8,2.34,45.0,97475.0
20140109:2300,8.11,78.9,0.0,0.0,0.0,275.8,2.28,47.0,97456.0
20140110:0000,7.63,83.5,0.0,0.0,0.0,275.6,2.28,52.0,97447.0
20140110:0100,7.15,87.85,0.0,0.0,0.0,271.8,2.21,57.0,97495.0
