time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20190731:1430,0.0,0.0,0.0,0.0,0.0,30.01,2.41,0.0
20190731:1530,0.0,0.0,0.0,0.0,0.0,29.62,2.48,0.0
20190731:1630,0.0,0.0,0.0,0.0,0.0,29.09,1.72,0.0
20190731:1730,0.0,0.0,0.0,0.0,0.0,28.7,1.72,0.0
20190731:1830,0.0,0.0,0.0,0.0,0.0,27.92,1.66,0.0
20190731:1930,0.0,0.0,0.0,0.0,0.0,28.55,3.38,0.0
20190731:2030,0.0,0.0,0.0,0.0,0.0,28.01,2.48,0.0
20190731:2130,0.0,0.0,0.0,0.0,0.0,27.31,1.72,0.0
20190731:2230,0.0,0.0,0.0,0.0,0.0,26.47,0.97,0.0
20190731:2330,0.0,0.0,0.0,0.0,0.0,26.35,1.03,0.0
20190801:0030,0.0,0.0,0.0,0.0,-0.67,26.13,1.86,0.0
20190801:0130,21.9,0.23,41.53,0.61,12.09,26.38,2.0,0.0
20190801:0230,46.87,0.07,74.56,1.07,25.21,26.8,2.69,0.0
20190801:0330,67.08,0.0,100.3,1.44,38.54,27.34,2.83,0.0
20190801:0430,124.93,6.91,164.85,2.47,51.91,27.54,2.14,0.0
20190801:0530,130.72,18.64,160.21,2.57,65.1,28.01,2.0,0.0
20190801:0630,461.01,345.73,248.37,8.37,77.09,27.89,2.07,0.0
20190801:0730,513.27,434.9,238.58,9.47,80.23,30.95,2.34,0.0
20190801:0830,473.0,375.05,247.4,8.81,69.83,32.15,2.34,0.0
20190801:0930,427.81,379.6,185.11,8.16,56.86,33.29,2.07,0.0
20190801:1030,223.56,143.92,155.54,4.44,43.51,33.61,2.28,0.0
20190801:1130,150.81,99.83,111.3,3.35,30.15,31.36,2.48,0.0
20190801:1230,45.2,13.3,64.57,1.29,16.94,30.03,3.24,0.0
20190801:1330,1.82,0.0,10.25,0.15,4.02,28.77,1.86,0.0
20190801:1430,0.0,0.0,0.0,0.0,0.0,28.17,1.79,0.0
20190801:1530,0.0,0.0,0.0,0.0,0.0,27.5,1.93,0.0
